"id","epochreview","status","prodid","subject","rating","ratingquality","ratingvalue","review","reviewpros","reviewcons","nickname","email"
"CS-11209PP-1679744978","1679744978","1","CS-11209PP","Great product","5","5","5","Love this website. The vinyl is excellent quality. Love it is pvc free too. The customer service is top quality too. Can't fault this site. ","","","Angie123","angelaparkinson5@hotmail.co.uk"
"DEMO-100-1343308850","1343308850","1","DEMO-100","Great Guitar!","5","5","4","This is an excellent guitar.  It has all the bells and whistles and great tone.","Great tone, affordable","","Kryptronic","noreply@nowhere.com"
"DEMO-100-1343998247","1343998247","1","DEMO-100","The Ultimate Shredder","4","4","5","If you've been waiting for your ultimate guitar, this SG is the one for you.  I've had mine for a few weeks now and my playing has increased substantially as a result of the thin profile and great controls.  I definitely recommend checking this one out.","Great sound, Excellent price","Quality lacking a bit","Mark","mark@nowhere.com"
"DEMO-100-1344010764","1344010764","1","DEMO-100","Great guitar!!!!!!","5","5","5","Highly recommend these guys to anyone looking for a new electric!  Fast service, obviously classic guitar.  ","Everything I hoped","none.","kissarmy","Jake2550@aol.com"
"DEMO-110-1344008175","1344008175","1","DEMO-110","My new baby.","5","4","5","If it's possible to love an inanimate object, I've found mine.  I was told that these guitars were hard to play because the strings were set so high.  No worries...this thing rocks!  Don't listen to the haters, I simply love this guitar.","Great action","This is a heavy guitar.","Pilot","tedpilot@ampersoft.net"
"DEMO-110-1344008294","1344008294","1","DEMO-110","Nice but pricey!","3","4","3","This is a nice guitar.  I was probably hoping for a little more than nice for the price, but I'm working it into my rig.  Ask me in a year.","Still evaluating.","Expensive.","snazzyg","Ericsnazle@rampup.net"
"DEMO-120-1344008420","1344008420","1","DEMO-120","Still Screaming!","5","5","3","I wish I had held on to my first one.  I sold it a few years back.  Even though it's starting to look it's age, I still love the action.  ","Plays fast.","Pretty pricey these days.","bobbyv","roberttake@taketwo.net"
"DEMO-120-1344008490","1344008490","1","DEMO-120","A Classic","5","5","5","I LOVE THIS GUITAR!","Best ever!!!!!!!!!!!!!!","None.","Jeff","jeffkline@zapster.net"
"DEMO-130-1344008637","1344008637","1","DEMO-130","I believe...","5","5","4","Had a fellow bandmate recommend this years ago...now I know why.  Great sound and I've never had a guitar so easy to play.  I love it.  I wish it would have been boxed a little better.  When the guy dropped it off, I was sure it would be scratched...luckily, it made it through.  ","Easy to Play.","Packaging was a little thin.","actionjack","jackblader@ramco.com"
"DEMO-130-1344008804","1344008804","1","DEMO-130","Warm Pie.","1","5","5","I've wanted this guitar since I read about it a few years ago.  I save my pennies and finally saw delivery a few weeks ago.  It's everything I hoped for.  But the girl on the phone was nasty.  Don't know who spoiled her day....Sarah...but she certainly tried to take it out on me!","Great guitar","Sarah is nasty.","rocksteady","Jamesred@broadband.co.uk"
"DEMO-140-1344008860","1344008860","1","DEMO-140","A Sweet Ride","5","5","5","Love it!","Many","None","brandy","brandywinan@costcare.com"
"DEMO-140-1344009022","1344009022","1","DEMO-140","Bad shipper, great guitar.","3","5","5","This was a straight 5 star review..except for our shipper.  For some reason, this genius decided it was okay to leave my guitar between my doors.  It ended up getting stolen.  But this vendor was great at helping me secure a second unit.  I hope the guy that stole it from me gets hit by a truck.  Guitar is...as expected...very cool. ","Great guitar with extra pickups!","Don't ship with Carrington Freight!","Randyrhodesrules","Billcader@comcast.com"
"DEMO-140-1344010617","1344010617","1","DEMO-140","Dreadful!","1","5","5","I was so disappointed in this whole experience.  First, let me say that this guitar is great and the vendor bent over backwards to help me.  But the shipping company just made my life a nightmare.  Lost my first shipment, damaged my second one...I'm now waiting for guitar #3.  ","Guitar sounds great...vendor is great.","Next time, I'll pick it up at the store.","Phil","phileven@trantic.com"
"DEMO-150-1344009166","1344009166","1","DEMO-150","There's only one way to rock!","5","5","5","Not your dad's guitar.  Unless your dad is a rock star.  This cool new axe makes it fun to play again.  I love it.","A great axe!","Expensive but probably worth it.","Aces","terryaceman@tramway.co.uk"
"DEMO-300-1344010984","1344010984","1","DEMO-300","From the box to the stage","4","5","4","This is one nice acoustic. I played this on stage the day it arrived.  It would have been a complete 5 star experience...save the case.  I'm a stickler for quality cases and for the price, the case on this guitar just doesn't match.  I'll be upgrading my case in the next few weeks.  Buy the guitar, buy the case someplace else.","Excellent tone","Case is garbage.","bond","james@redcom.net"
"DEMO-310-1344011146","1344011146","1","DEMO-310","Not thrilled","3","3","3","When I spend big bucks on a guitar, I'd like to finish playing it with a little drool on my chin.  In this case, I just didn't feel it.  I guess it's an okay guitar, but I'm not thrilled with the action, strings seem a little high and the overall quality of the sound left me wanting more.  Hoping I'll get used to it and feel bad that I wrote this.","okay","nothing special","tele fan","thomas@zipster.co.uk"
"DEMO-310-1344011272","1344011272","1","DEMO-310","A solid choice!!!","5","4","5","I love this guitar.  It had everything I wanted...it was good looking, plays really nice and sounds great!  ","A great buy.","Ask me in 2 weeks.","Dread Jones","Davidjones@manicmonday.net"
"DEMO-310-1344011399","1344011399","1","DEMO-310","A New Member Of The Family!","5","5","5","I fell in love when I saw this guitar a few years ago.   I finally consummated the deal last week.  No regrets.  Sounds great, plays great, looks great.  Overall...you guessed it...GREAT!","","","Acoustic Amy","amywinine@bellfont.net"
"DEMO-400-1344004761","1344004761","1","DEMO-400","A Great Purchase!","4","4","5","Purchased this 2 weeks ago...don't know how I lived with out it for so long.  Great tone on my rock settings, but a very nice response for the acoustic stuff!  ","Great tone","Heavy and hard to move.","Eddie","transient@bml.com"
"DEMO-400-1344005107","1344005107","1","DEMO-400","Disappointing","3","2","3","I'm sure that if I had purchased this for rock shows, I'd have written a different review.  But I mostly use my amp to boost my acoustic ensemble and this just has too much of an edge for me.  I'll be returning it soon.","","","Ted","theodore@grinlic.com"
"DEMO-410-1344005279","1344005279","1","DEMO-410","Dangerous Weapon","5","5","5","My new adopted amp of choice.  Really bought this as a backup to my existing Twin setup.  But within 2 days, it was front and center with my Twin relegated to the bench.  Don't let the tweed suit fool you...this guy brings serious dirt. ","","","Blue Suede Pants","derek@lgfisher.com"
"DEMO-410-1344005523","1344005523","1","DEMO-410","Great experience!","4","5","2","These guys were awesome.  I had an issue with my first purchase and they sent a replacement while I was still on the phone with customer service.  The return was free and I turned the whole process around in a few days.  The amp is now performing fine, but I was a little disappointed with the response of the unit.  For the price, I thought the knobs would be a little less cheesy...I ended up replacing them about 2 weeks in.  Otherwise, the sound is great!","Great sound","Knobs are cheap.","Dedric Snyde","fingers@eldorado.net"
"DEMO-410-1344454489","1344454489","1","DEMO-410","Great Amp","5","4","5","Great amp at a great price.  The tweed was a bit shoddy where it was glued together, hence the 4 star rating for quality.  This amp rocks, though.  Smooth sounds of the old days echo from it's speaker.  A must have for any retro guitar rocker.","Great Looking, Great Price, Awesome Sound","Glue Marks on Tweed","Kryptronic","noreply@nowhere.com"
"DEMO-420-1344004967","1344004967","1","DEMO-420","Orange you glad you bought this?","5","5","4","Bad pun, but great amp.  Used it on stage 2 days after I purchased it.  Immediately made the overall quality of my sound go up.  I'd recommend this to anyone that wants one versatile piece of equipment.","Great grunge.","It's orange.","Seattle Dave","dave@seattle.com"
"DEMO-420-1344005659","1344005659","1","DEMO-420","A giant leap in quality.","5","5","5","Wow...I didn't realize how crappy my rig was until I put this in front of it.  Worth every penny. ","Great value","None so far","Theater maniac","snerdlyb@techjump.net"
"DEMO-430-1344005866","1344005866","1","DEMO-430","Tubes Rule!","2","5","5","The amp was great...nothing beats a tube amp.  I was a little bummed by the service.  After I ordered, I found out that the item was out of stock.  I waited almost 2 weeks and then it just showed up...no email, no message, nothing.  I would have liked a little better communication from the vendor.  I'm over it now and the amp sounds great!","Sweet, sweet tubes!","No communications","Byron A.","byrona@netco.co"
"DEMO-430-1344006952","1344006952","1","DEMO-430","Good Times...","5","4","4","I was looking for a second stage amp to handle the grungy stuff.  I found it.  ","Excellent distortion","Heavy.","Calvin The Great","calvinj@media.net"
"DEMO-440-1344007929","1344007929","1","DEMO-440","Cool second unit!","5","5","5","Purchased as a second amp to keep at home while my rig is on the truck.  Can't complain...it's been everything I hoped for.  Service from vendor was fast.","Great sounds, great price.","Still searching","jeremy","jeremyrend@cartical.com"
"DEMO-440-1344008045","1344008045","1","DEMO-440","Returning","1","2","3","This was not what I thought it would be.  I thought the top end was a little to tinny for my ears and the rumbling on the low end was annoying.  Oh well...live and learn.  I'm boxing it back up as we speak.","Service was fast.","Not happy with the sound.","Torkman","jerrytork@usml.nl"
